"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 19 15:44:43 MSK 2025","Sat Jul 19 15:44:50 MSK 2025","6857","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Проверка ошибок при регистрации Username только цифры",""
"passed","Sat Jul 19 15:50:09 MSK 2025","Sat Jul 19 15:50:17 MSK 2025","8675","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Негативные кейсы Forgot Password XSS <script>",""
"failed","Sat Jul 19 15:51:32 MSK 2025","Sat Jul 19 15:51:32 MSK 2025","553","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","updateNote","Обновление заметки по ID",""
"passed","Sat Jul 19 15:44:24 MSK 2025","Sat Jul 19 15:44:30 MSK 2025","6309","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Проверка ошибок при регистрации Username заканчивается с пробелом",""
"failed","Sat Jul 19 15:45:06 MSK 2025","Sat Jul 19 15:45:07 MSK 2025","389","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","updateNonexistentNote","Обновление несуществующей заметки",""
"passed","Sat Jul 19 15:52:00 MSK 2025","Sat Jul 19 15:52:01 MSK 2025","1251","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","registerWithInvalidEmail","Регистрация с некорректным email",""
"passed","Sat Jul 19 15:48:31 MSK 2025","Sat Jul 19 15:48:38 MSK 2025","6215","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Негативные кейсы логина Несуществующий юзер",""
"passed","Sat Jul 19 15:47:28 MSK 2025","Sat Jul 19 15:47:34 MSK 2025","6242","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Проверка ошибок при регистрации Username только заглавными буквами",""
"failed","Sat Jul 19 15:51:28 MSK 2025","Sat Jul 19 15:51:29 MSK 2025","686","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","updateNonexistentNote","Обновление несуществующей заметки",""
"failed","Sat Jul 19 15:51:33 MSK 2025","Sat Jul 19 15:51:34 MSK 2025","553","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","retrieveListOfNotes","Взять все заметки",""
"passed","Sat Jul 19 15:39:58 MSK 2025","Sat Jul 19 15:40:06 MSK 2025","7385","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Негативные кейсы Forgot Password Очень длинный домен",""
"passed","Sat Jul 19 15:51:43 MSK 2025","Sat Jul 19 15:51:45 MSK 2025","1314","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","resetPassword_withMockToken_shouldReturnResponse","Сброс пароля работает при фиктивном токене (эмуляция)",""
"passed","Sat Jul 19 15:48:38 MSK 2025","Sat Jul 19 15:48:44 MSK 2025","6284","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Негативные кейсы логина SQL-инъекция в username",""
"passed","Sat Jul 19 15:42:02 MSK 2025","Sat Jul 19 15:42:16 MSK 2025","13571","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","loginWithThreeCharUsername","Успешный логин с username из 3 символов",""
"passed","Sat Jul 19 15:49:09 MSK 2025","Sat Jul 19 15:49:15 MSK 2025","6531","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Негативные кейсы логина Username > 39 символов",""
"passed","Sat Jul 19 15:45:16 MSK 2025","Sat Jul 19 15:45:18 MSK 2025","1748","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","updateProfile_shouldSucceed","Профиль успешно обновляется",""
