"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 22 13:21:36 UTC 2025","Tue Jul 22 13:21:36 UTC 2025","879","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithEmptyTitle","Create note with empty title",""
"passed","Tue Jul 22 13:21:57 UTC 2025","Tue Jul 22 13:21:58 UTC 2025","986","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","resetPasswordViaValidEmail","Reset password using valid email",""
"passed","Tue Jul 22 13:21:51 UTC 2025","Tue Jul 22 13:21:52 UTC 2025","1001","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","changePassword","Change password",""
"passed","Tue Jul 22 13:21:55 UTC 2025","Tue Jul 22 13:21:56 UTC 2025","594","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","registerWithInvalidEmail","Register with invalid email",""
"passed","Tue Jul 22 13:16:30 UTC 2025","Tue Jul 22 13:16:36 UTC 2025","5975","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","validSendingResetPassword","Send password reset request to valid email",""
"passed","Tue Jul 22 13:18:37 UTC 2025","Tue Jul 22 13:18:43 UTC 2025","5780","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Negative login scenarios Username longer than 39 characters",""
"passed","Tue Jul 22 13:21:34 UTC 2025","Tue Jul 22 13:21:35 UTC 2025","938","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","deleteNoteOfAnotherUser","Delete note owned by another user",""
"passed","Tue Jul 22 13:21:25 UTC 2025","Tue Jul 22 13:21:30 UTC 2025","5505","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","checkApiServerHealth","Check API server health",""
"passed","Tue Jul 22 13:18:20 UTC 2025","Tue Jul 22 13:18:26 UTC 2025","5806","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Negative login scenarios XSS attempt in username",""
"passed","Tue Jul 22 13:19:01 UTC 2025","Tue Jul 22 13:19:10 UTC 2025","8969","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","loginWithThreeCharUsername","Successful login with 3-character username",""
"passed","Tue Jul 22 13:21:40 UTC 2025","Tue Jul 22 13:21:41 UTC 2025","897","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithInvalidCategory","Create note with unknown category",""
"passed","Tue Jul 22 13:20:51 UTC 2025","Tue Jul 22 13:20:57 UTC 2025","5801","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Validation errors during registration Password without digit",""
"passed","Tue Jul 22 13:21:32 UTC 2025","Tue Jul 22 13:21:33 UTC 2025","1317","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","updateNonexistentNote","Update nonexistent note",""
"passed","Tue Jul 22 13:16:07 UTC 2025","Tue Jul 22 13:16:24 UTC 2025","17048","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","sendingResetPasswordByTabSpace","Send password reset request via Tab → Space",""
"passed","Tue Jul 22 13:20:05 UTC 2025","Tue Jul 22 13:20:10 UTC 2025","5753","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Validation errors during registration Username with special characters",""
"passed","Tue Jul 22 13:21:44 UTC 2025","Tue Jul 22 13:21:45 UTC 2025","1016","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","updateNoteWithEmptyBody","Update note with empty request body",""
"passed","Tue Jul 22 13:18:14 UTC 2025","Tue Jul 22 13:18:20 UTC 2025","5799","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Negative login scenarios SQL injection in password",""
"passed","Tue Jul 22 13:21:37 UTC 2025","Tue Jul 22 13:21:39 UTC 2025","1237","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","updateNote","Update note by ID",""
"passed","Tue Jul 22 13:21:51 UTC 2025","Tue Jul 22 13:21:51 UTC 2025","768","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","checkLoginAndSaveToken","Login and save token",""
"passed","Tue Jul 22 13:21:43 UTC 2025","Tue Jul 22 13:21:44 UTC 2025","1018","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","deleteNote","Delete note by ID",""
"passed","Tue Jul 22 13:21:46 UTC 2025","Tue Jul 22 13:21:47 UTC 2025","781","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","deleteTestAccount","Delete test account",""
"passed","Tue Jul 22 13:21:08 UTC 2025","Tue Jul 22 13:21:14 UTC 2025","5756","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","registerWithMaxLengthUsername","Register with 39-character username",""
"passed","Tue Jul 22 13:16:24 UTC 2025","Tue Jul 22 13:16:30 UTC 2025","5929","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","sendingResetPasswordByEnter","Send password reset request using Enter",""
"passed","Tue Jul 22 13:16:41 UTC 2025","Tue Jul 22 13:16:46 UTC 2025","4364","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Negative Forgot Password test cases XSS img tag",""
"passed","Tue Jul 22 13:19:59 UTC 2025","Tue Jul 22 13:20:05 UTC 2025","5974","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Validation errors during registration Username with space",""
"passed","Tue Jul 22 13:19:16 UTC 2025","Tue Jul 22 13:19:22 UTC 2025","5768","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","registerWithThreeCharUsername","Register with 3-character username",""
"passed","Tue Jul 22 13:17:23 UTC 2025","Tue Jul 22 13:17:27 UTC 2025","4374","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Negative Forgot Password test cases 255 characters",""
"passed","Tue Jul 22 13:17:45 UTC 2025","Tue Jul 22 13:17:51 UTC 2025","5791","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Negative login scenarios Empty fields",""
"passed","Tue Jul 22 13:20:34 UTC 2025","Tue Jul 22 13:20:39 UTC 2025","5732","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Validation errors during registration Username starts with space",""
"passed","Tue Jul 22 13:21:54 UTC 2025","Tue Jul 22 13:21:55 UTC 2025","719","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","logoutSystem","Logout from system",""
